disease,disease_class,detector,sustained_alerts_total,sustained_alerts_outside_window,n_years_covered,alerts_per_year
レンサ球菌咽頭炎,sentinel/その他,D_stat,10,10,13,0.769
レンサ球菌咽頭炎,sentinel/その他,D_growth,0,0,13,0.0
レンサ球菌咽頭炎,sentinel/その他,D_spatial,0,0,13,0.0
レンサ球菌咽頭炎,sentinel/その他,combined,10,10,13,0.769
Ｅ型肝炎,全数把握,D_rare,9,9,13,0.692
Ｅ型肝炎,全数把握,D_stat,4,4,13,0.308
Ｅ型肝炎,全数把握,D_growth,0,0,13,0.0
Ｅ型肝炎,全数把握,D_spatial,0,0,13,0.0
Ｅ型肝炎,全数把握,combined,10,10,13,0.769
Ｑ熱,全数把握,D_rare,0,0,13,0.0
Ｑ熱,全数把握,D_stat,0,0,13,0.0
Ｑ熱,全数把握,D_growth,0,0,13,0.0
Ｑ熱,全数把握,D_spatial,0,0,13,0.0
Ｑ熱,全数把握,combined,0,0,13,0.0
カルバペネム耐性腸内細菌目細菌感染症,全数把握,D_rare,1,1,12,0.083
カルバペネム耐性腸内細菌目細菌感染症,全数把握,D_stat,5,5,12,0.417
カルバペネム耐性腸内細菌目細菌感染症,全数把握,D_growth,2,2,12,0.167
カルバペネム耐性腸内細菌目細菌感染症,全数把握,D_spatial,0,0,12,0.0
カルバペネム耐性腸内細菌目細菌感染症,全数把握,combined,8,8,12,0.667
中東呼吸器症候群,全数把握,D_rare,0,0,12,0.0
中東呼吸器症候群,全数把握,D_stat,0,0,12,0.0
中東呼吸器症候群,全数把握,D_growth,0,0,12,0.0
中東呼吸器症候群,全数把握,D_spatial,0,0,12,0.0
中東呼吸器症候群,全数把握,combined,0,0,12,0.0
播種性クリプトコックス症,全数把握,D_rare,53,53,12,4.417
播種性クリプトコックス症,全数把握,D_stat,0,0,12,0.0
播種性クリプトコックス症,全数把握,D_growth,0,0,12,0.0
播種性クリプトコックス症,全数把握,D_spatial,0,0,12,0.0
播種性クリプトコックス症,全数把握,combined,53,53,12,4.417
水痘（入院例に限る）,全数把握,D_rare,28,28,12,2.333
水痘（入院例に限る）,全数把握,D_stat,3,3,12,0.25
水痘（入院例に限る）,全数把握,D_growth,0,0,12,0.0
水痘（入院例に限る）,全数把握,D_spatial,0,0,12,0.0
水痘（入院例に限る）,全数把握,combined,28,28,12,2.333
薬剤耐性アシネトバクター感染症,全数把握,D_rare,3,3,12,0.25
薬剤耐性アシネトバクター感染症,全数把握,D_stat,0,0,12,0.0
薬剤耐性アシネトバクター感染症,全数把握,D_growth,0,0,12,0.0
薬剤耐性アシネトバクター感染症,全数把握,D_spatial,0,0,12,0.0
薬剤耐性アシネトバクター感染症,全数把握,combined,3,3,12,0.25
ジカウイルス感染症,全数把握,D_rare,0,0,10,0.0
ジカウイルス感染症,全数把握,D_stat,0,0,10,0.0
ジカウイルス感染症,全数把握,D_growth,0,0,10,0.0
ジカウイルス感染症,全数把握,D_spatial,0,0,10,0.0
ジカウイルス感染症,全数把握,combined,0,0,10,0.0
キャサヌル森林病1,sentinel/その他,D_rare,0,0,5,0.0
キャサヌル森林病1,sentinel/その他,D_stat,0,0,5,0.0
キャサヌル森林病1,sentinel/その他,D_growth,0,0,5,0.0
キャサヌル森林病1,sentinel/その他,D_spatial,0,0,5,0.0
キャサヌル森林病1,sentinel/その他,combined,0,0,5,0.0
急性弛緩性麻痺,全数把握,D_rare,12,12,8,1.5
急性弛緩性麻痺,全数把握,D_stat,0,0,8,0.0
急性弛緩性麻痺,全数把握,D_growth,0,0,8,0.0
急性弛緩性麻痺,全数把握,D_spatial,0,0,8,0.0
急性弛緩性麻痺,全数把握,combined,12,12,8,1.5
感染性胃腸炎（ロタウイルス）,sentinel/その他,D_rare,0,0,8,0.0
感染性胃腸炎（ロタウイルス）,sentinel/その他,D_stat,1,1,8,0.125
感染性胃腸炎（ロタウイルス）,sentinel/その他,D_growth,0,0,8,0.0
感染性胃腸炎（ロタウイルス）,sentinel/その他,D_spatial,0,0,8,0.0
感染性胃腸炎（ロタウイルス）,sentinel/その他,combined,1,1,8,0.125
新型コロナウイルス感染症（疑い例を含む）,sentinel/その他,D_rare,0,0,2,0.0
新型コロナウイルス感染症（疑い例を含む）,sentinel/その他,D_stat,0,0,2,0.0
新型コロナウイルス感染症（疑い例を含む）,sentinel/その他,D_growth,1,1,2,0.5
新型コロナウイルス感染症（疑い例を含む）,sentinel/その他,D_spatial,0,0,2,0.0
新型コロナウイルス感染症（疑い例を含む）,sentinel/その他,combined,1,1,2,0.5
鳥インフルエンザ(Ｈ５Ｎ１を除く）,全数把握,D_rare,0,0,1,0.0
鳥インフルエンザ(Ｈ５Ｎ１を除く）,全数把握,D_stat,0,0,1,0.0
鳥インフルエンザ(Ｈ５Ｎ１を除く）,全数把握,D_growth,0,0,1,0.0
鳥インフルエンザ(Ｈ５Ｎ１を除く）,全数把握,D_spatial,0,0,1,0.0
鳥インフルエンザ(Ｈ５Ｎ１を除く）,全数把握,combined,0,0,1,0.0
エムポックス,全数把握,D_rare,2,2,3,0.667
エムポックス,全数把握,D_stat,0,0,3,0.0
エムポックス,全数把握,D_growth,0,0,3,0.0
エムポックス,全数把握,D_spatial,0,0,3,0.0
エムポックス,全数把握,combined,2,2,3,0.667
新型コロナウイルス感染症,sentinel/その他,D_rare,0,0,3,0.0
新型コロナウイルス感染症,sentinel/その他,D_stat,0,0,3,0.0
新型コロナウイルス感染症,sentinel/その他,D_growth,1,1,3,0.333
新型コロナウイルス感染症,sentinel/その他,D_spatial,0,0,3,0.0
新型コロナウイルス感染症,sentinel/その他,combined,1,1,3,0.333
‌回帰熱,sentinel/その他,D_rare,0,0,1,0.0
‌回帰熱,sentinel/その他,D_stat,0,0,1,0.0
‌回帰熱,sentinel/その他,D_growth,0,0,1,0.0
‌回帰熱,sentinel/その他,D_spatial,0,0,1,0.0
‌回帰熱,sentinel/その他,combined,0,0,1,0.0
多剤耐性緑膿菌感染症,全数把握,D_rare,0,0,1,0.0
多剤耐性緑膿菌感染症,全数把握,D_stat,0,0,1,0.0
多剤耐性緑膿菌感染症,全数把握,D_growth,0,0,1,0.0
多剤耐性緑膿菌感染症,全数把握,D_spatial,0,0,1,0.0
多剤耐性緑膿菌感染症,全数把握,combined,0,0,1,0.0
