disease,disease_class,detector,sustained_alerts_total,sustained_alerts_outside_window,n_years_covered,alerts_per_year
コクシジオイデス症,全数把握,D_spatial,0,0,13,0.0
コクシジオイデス症,全数把握,combined,1,1,13,0.077
コレラ,全数把握,D_rare,0,0,13,0.0
コレラ,全数把握,D_stat,0,0,13,0.0
コレラ,全数把握,D_growth,0,0,13,0.0
コレラ,全数把握,D_spatial,0,0,13,0.0
コレラ,全数把握,combined,0,0,13,0.0
ジアルジア症,全数把握,D_rare,30,30,13,2.308
ジアルジア症,全数把握,D_stat,0,0,13,0.0
ジアルジア症,全数把握,D_growth,0,0,13,0.0
ジアルジア症,全数把握,D_spatial,0,0,13,0.0
ジアルジア症,全数把握,combined,30,30,13,2.308
ジフテリア,全数把握,D_rare,0,0,13,0.0
ジフテリア,全数把握,D_stat,0,0,13,0.0
ジフテリア,全数把握,D_growth,0,0,13,0.0
ジフテリア,全数把握,D_spatial,0,0,13,0.0
ジフテリア,全数把握,combined,0,0,13,0.0
ダニ媒介脳炎,全数把握,D_rare,0,0,13,0.0
ダニ媒介脳炎,全数把握,D_stat,0,0,13,0.0
ダニ媒介脳炎,全数把握,D_growth,0,0,13,0.0
ダニ媒介脳炎,全数把握,D_spatial,0,0,13,0.0
ダニ媒介脳炎,全数把握,combined,0,0,13,0.0
チクングニア熱,全数把握,D_rare,5,5,13,0.385
チクングニア熱,全数把握,D_stat,0,0,13,0.0
チクングニア熱,全数把握,D_growth,0,0,13,0.0
チクングニア熱,全数把握,D_spatial,0,0,13,0.0
チクングニア熱,全数把握,combined,5,5,13,0.385
デング熱,全数把握,D_rare,28,28,13,2.154
デング熱,全数把握,D_stat,2,2,13,0.154
デング熱,全数把握,D_growth,0,0,13,0.0
デング熱,全数把握,D_spatial,0,0,13,0.0
デング熱,全数把握,combined,29,29,13,2.231
ニパウイルス感染症,全数把握,D_rare,0,0,13,0.0
ニパウイルス感染症,全数把握,D_stat,0,0,13,0.0
ニパウイルス感染症,全数把握,D_growth,0,0,13,0.0
ニパウイルス感染症,全数把握,D_spatial,0,0,13,0.0
ニパウイルス感染症,全数把握,combined,0,0,13,0.0
ハンタウイルス肺症候群,全数把握,D_rare,0,0,13,0.0
ハンタウイルス肺症候群,全数把握,D_stat,0,0,13,0.0
ハンタウイルス肺症候群,全数把握,D_growth,0,0,13,0.0
ハンタウイルス肺症候群,全数把握,D_spatial,0,0,13,0.0
ハンタウイルス肺症候群,全数把握,combined,0,0,13,0.0
バンコマイシン耐性腸球菌感染症,全数把握,D_rare,53,53,13,4.077
バンコマイシン耐性腸球菌感染症,全数把握,D_stat,0,0,13,0.0
バンコマイシン耐性腸球菌感染症,全数把握,D_growth,0,0,13,0.0
バンコマイシン耐性腸球菌感染症,全数把握,D_spatial,0,0,13,0.0
バンコマイシン耐性腸球菌感染症,全数把握,combined,53,53,13,4.077
パラチフス,全数把握,D_rare,4,4,13,0.308
パラチフス,全数把握,D_stat,0,0,13,0.0
パラチフス,全数把握,D_growth,0,0,13,0.0
パラチフス,全数把握,D_spatial,0,0,13,0.0
パラチフス,全数把握,combined,4,4,13,0.308
ブルセラ症,全数把握,D_rare,0,0,13,0.0
ブルセラ症,全数把握,D_stat,0,0,13,0.0
ブルセラ症,全数把握,D_growth,0,0,13,0.0
ブルセラ症,全数把握,D_spatial,0,0,13,0.0
ブルセラ症,全数把握,combined,0,0,13,0.0
ヘルパンギーナ,sentinel/その他,D_rare,0,0,13,0.0
ヘルパンギーナ,sentinel/その他,D_stat,8,8,13,0.615
